well_id,x,y,z,time_days,time_years,concentration_clean_mg_L,concentration_observed_mg_L,above_detection_limit
W01,300.0,230.0,221.15238095238095,1095.0,3.0,0.001464839794869112,0.0,False
W01,300.0,230.0,221.15238095238095,1168.0,3.2,0.0039028873085407796,0.003766418879872959,False
W01,300.0,230.0,221.15238095238095,1241.0,3.4,0.007719392766253647,0.01093859300162459,True
W01,300.0,230.0,221.15238095238095,1314.0,3.6,0.012834361460736694,0.009400755222197825,True
W01,300.0,230.0,221.15238095238095,1387.0,3.8,0.019403305175022655,0.02157406818468601,True
W01,300.0,230.0,221.15238095238095,1460.0,4.0,0.027651081086354525,0.027537093300047357,True
W01,300.0,230.0,221.15238095238095,1533.0,4.2,0.03751626180213973,0.031813634169326185,True
W01,300.0,230.0,221.15238095238095,1606.0,4.4,0.04869892869279931,0.04656772093341923,True
W01,300.0,230.0,221.15238095238095,1679.0,4.6,0.06106747888284814,0.05446287582720454,True
W01,300.0,230.0,221.15238095238095,1752.0,4.8,0.07473784112884524,0.07977617740883637,True
W01,300.0,230.0,221.15238095238095,1825.0,5.0,0.08967367580877447,0.08910684799000224,True
W01,300.0,230.0,221.15238095238095,1898.0,5.2,0.10555793694613193,0.10758517325121572,True
W01,300.0,230.0,221.15238095238095,1971.0,5.4,0.12209970747544116,0.1211092231101432,True
W01,300.0,230.0,221.15238095238095,2044.0,5.6,0.13933342571499824,0.12290223678598608,True
W01,300.0,230.0,221.15238095238095,2117.0,5.8,0.15730895699723657,0.16064493376197717,True
W01,300.0,230.0,221.15238095238095,2190.0,6.0,0.1758038538979436,0.1835574410617599,True
W01,300.0,230.0,221.15238095238095,2263.0,6.2,0.19447535535470012,0.1959779533092435,True
W01,300.0,230.0,221.15238095238095,2336.0,6.4,0.21326502276316392,0.22450599462691342,True
W01,300.0,230.0,221.15238095238095,2409.0,6.6,0.23229975503561168,0.2293382302981504,True
W01,300.0,230.0,221.15238095238095,2482.0,6.8,0.2514992223382731,0.26299362862458053,True
W01,300.0,230.0,221.15238095238095,2555.0,7.0,0.2705565493384124,0.2852985253426956,True
W01,300.0,230.0,221.15238095238095,2628.0,7.2,0.28931462191409696,0.29546697893115437,True
W01,300.0,230.0,221.15238095238095,2701.0,7.4,0.3079213033192907,0.30257404620842426,True
W01,300.0,230.0,221.15238095238095,2774.0,7.6,0.32643910272887605,0.3260160258409877,True
W01,300.0,230.0,221.15238095238095,2847.0,7.8,0.34465626772814884,0.34470756976112216,True
W01,300.0,230.0,221.15238095238095,2920.0,8.0,0.3623420827452457,0.3423125945238035,True
W02,380.0,230.0,221.24761904761903,1095.0,3.0,1.2565344687932674e-10,0.002188856095683655,False
W02,380.0,230.0,221.24761904761903,1168.0,3.2,7.813618817494642e-09,0.0,False
W02,380.0,230.0,221.24761904761903,1241.0,3.4,1.4273883298101306e-07,0.0,False
W02,380.0,230.0,221.24761904761903,1314.0,3.6,1.221159790950212e-06,0.0,False
W02,380.0,230.0,221.24761904761903,1387.0,3.8,6.332185312055143e-06,0.0,False
W02,380.0,230.0,221.24761904761903,1460.0,4.0,2.3212254519302763e-05,0.0,False
W02,380.0,230.0,221.24761904761903,1533.0,4.2,6.632806983761501e-05,0.0,False
W02,380.0,230.0,221.24761904761903,1606.0,4.4,0.0001577826068637836,0.0,False
W02,380.0,230.0,221.24761904761903,1679.0,4.6,0.000327259759849583,0.0,False
W02,380.0,230.0,221.24761904761903,1752.0,4.8,0.00061164873643692,0.002342152791512976,False
W02,380.0,230.0,221.24761904761903,1825.0,5.0,0.0010543190250674253,0.0035756574207582363,False
W02,380.0,230.0,221.24761904761903,1898.0,5.2,0.0017036319888476736,0.002080764838227086,False
W02,380.0,230.0,221.24761904761903,1971.0,5.4,0.0026109205853116716,0.0041962883858512575,False
W02,380.0,230.0,221.24761904761903,2044.0,5.6,0.003828744862377114,0.002466341842870654,False
